Store,Date,Temperature,Fuel_Price,CPI,Unemployment
1,2016-04-22,21 °C,"15,607 VNĐ",211.0963582,8.106 %
1,2016-11-22,19 °C,"15,461 VNĐ",211.24216980000003,8.106 %
1,2016-02-10,20 °C,"15,255 VNĐ",211.2891429,8.106 %
1,2016-02-17,23 °C,"15,540 VNĐ",211.3196429,8.106 %
1,2016-04-23,23 °C,"15,928 VNĐ",211.3501429,8.106 %
1,2016-11-23,29 °C,"16,183 VNĐ",211.3806429,8.106 %
1,2016-03-09,27 °C,"16,505 VNĐ",211.21563500000002,8.106 %
1,2016-03-16,26 °C,"16,577 VNĐ",211.0180424,8.106 %
1,2016-01-26,31 °C,"16,499 VNĐ",210.82044989999997,7.808 %
1,2016-08-25,33 °C,"16,808 VNĐ",210.62285740000002,7.808 %
1,2016-04-06,33 °C,"17,039 VNĐ",210.4887,7.808 %
1,2016-04-13,32 °C,"16,960 VNĐ",210.4391228,7.808 %
1,2016-04-20,34 °C,"16,869 VNĐ",210.3895456,7.808 %
1,2016-06-25,36 °C,"17,202 VNĐ",210.33996839999998,7.808 %
1,2016-05-04,37 °C,"17,318 VNĐ",210.3374261,7.808 %
1,2016-05-11,38 °C,"17,148 VNĐ",210.6170934,7.808 %
1,2016-05-18,40 °C,"16,741 VNĐ",210.89676060000002,7.808 %
1,2016-03-27,40 °C,"16,414 VNĐ",211.1764278,7.808 %
1,2016-10-27,40 °C,"16,189 VNĐ",211.4560951,7.808 %
1,2016-06-08,42 °C,"16,001 VNĐ",211.4537719,7.808 %
1,2016-06-15,42 °C,"16,098 VNĐ",211.33865260000002,7.808 %
1,2016-01-29,40 °C,"16,195 VNĐ",211.2235333,7.787000000000001 %
1,2016-08-28,40 °C,"16,031 VNĐ",211.108414,7.787000000000001 %
1,2016-07-06,42 °C,"15,916 VNĐ",211.10038540000002,7.787000000000001 %
1,2016-07-13,42 °C,"15,825 VNĐ",211.2351443,7.787000000000001 %
1,2016-07-20,41 °C,"16,019 VNĐ",211.36990319999995,7.787000000000001 %
1,2016-05-29,44 °C,"15,940 VNĐ",211.5046621,7.787000000000001 %
1,2016-08-03,44 °C,"16,335 VNĐ",211.63942110000002,7.787000000000001 %
1,2016-08-10,43 °C,"16,165 VNĐ",211.60336329999998,7.787000000000001 %
1,2016-08-17,43 °C,"15,892 VNĐ",211.5673056,7.787000000000001 %
1,2016-02-28,41 °C,"15,637 VNĐ",211.53124790000004,7.787000000000001 %
1,2016-09-29,39 °C,"15,564 VNĐ",211.49519019999997,7.787000000000001 %
1,2016-09-07,41 °C,"15,667 VNĐ",211.5224596,7.787000000000001 %
1,2016-09-14,40 °C,"15,922 VNĐ",211.59722459999998,7.787000000000001 %
1,2016-01-01,36 °C,"15,795 VNĐ",211.6719895,7.837999999999999 %
1,2016-07-31,32 °C,"15,977 VNĐ",211.74675440000001,7.837999999999999 %
1,2016-10-05,34 °C,"16,505 VNĐ",211.81374359999998,7.837999999999999 %
1,2016-10-12,35 °C,"16,535 VNĐ",211.8612937,7.837999999999999 %
1,2016-10-19,35 °C,"16,480 VNĐ",211.9088438,7.837999999999999 %
1,2016-05-01,29 °C,"16,316 VNĐ",211.95639390000002,7.837999999999999 %
1,2016-12-01,30 °C,"16,553 VNĐ",212.003944,7.837999999999999 %
1,2016-11-09,26 °C,"16,814 VNĐ",211.88967369999997,7.837999999999999 %
1,2016-11-16,32 °C,"16,596 VNĐ",211.74843330000002,7.837999999999999 %
1,2016-03-02,25 °C,"16,432 VNĐ",211.60719300000002,7.837999999999999 %
1,2016-10-02,23 °C,"17,251 VNĐ",211.4659526,7.837999999999999 %
1,2016-12-07,25 °C,"17,409 VNĐ",211.40531239999999,7.837999999999999 %
1,2016-12-14,26 °C,"17,512 VNĐ",211.4051222,7.837999999999999 %
1,2016-12-21,24 °C,"17,858 VNĐ",211.4049321,7.837999999999999 %
1,2017-06-21,24 °C,"18,058 VNĐ",211.40474190000003,7.742000000000001 %
1,2017-01-04,18 °C,"18,100 VNĐ",211.4574109,7.742000000000001 %
1,2017-01-11,22 °C,"18,301 VNĐ",211.82723430000004,7.742000000000001 %
1,2017-01-18,22 °C,"18,264 VNĐ",212.19705770000002,7.742000000000001 %
1,2017-03-23,21 °C,"18,137 VNĐ",212.56688119999998,7.742000000000001 %
