Store,Date,Weekly_Sales,IsHoliday
1,2016-01-01,230.3,False
1,2016-01-26,256.3,False
1,2016-01-29,236.5,False
1,2016-02-10,255.5,False
1,2016-02-17,226.5,False
1,2016-02-28,247.5,False
1,2016-03-02,252.3,False
1,2016-03-09,236.6,False
1,2016-03-16,225.7,False
1,2016-03-27,263.3,False
1,2016-04-06,232.4,False
1,2016-04-13,223.6,False
1,2016-04-20,232.2,False
1,2016-04-22,260.5,False
1,2016-04-23,246.4,False
1,2016-05-01,249.3,False
1,2016-05-04,240.1,False
1,2016-05-11,231.4,False
1,2016-05-18,236.7,False
1,2016-05-29,265.4,False
1,2016-06-08,252.1,False
1,2016-06-15,238.6,False
1,2016-06-25,257.7,False
1,2016-07-06,239.5,False
1,2016-07-13,222.6,False
1,2016-07-20,220.5,False
1,2016-07-31,239.1,False
1,2016-08-03,245.8,False
1,2016-08-10,243.1,False
1,2016-08-17,239.5,False
1,2016-08-25,245.0,False
1,2016-08-28,252.0,False
1,2016-09-07,229.9,False
1,2016-09-14,220.3,False
1,2016-09-29,242.2,True
1,2016-10-02,274.2,False
1,2016-10-05,231.3,False
1,2016-10-12,213.3,False
1,2016-10-19,222.4,False
1,2016-10-27,251.4,False
1,2016-11-09,238.4,False
1,2016-11-16,314.3,True
1,2016-11-22,263.8,True
1,2016-11-23,228.2,False
1,2016-12-01,236.9,False
1,2016-12-07,303.9,False
1,2016-12-14,383.7,False
1,2016-12-21,222.8,True
1,2016-12-25,243.6,False
1,2016-12-28,249.6,False
1,2017-01-04,226.7,False
1,2017-01-11,213.3,False
1,2017-01-18,214.6,False
1,2017-01-30,245.7,False
1,2017-02-02,251.1,False
1,2017-02-08,271.1,False
1,2017-02-15,234.1,False
1,2017-02-24,270.2,False
1,2017-03-08,253.4,False
1,2017-03-15,251.1,False
1,2017-03-23,261.8,False
1,2017-03-24,259.3,False
1,2017-04-01,272.7,False
1,2017-04-05,254.2,False
1,2017-04-12,251.5,False
1,2017-04-19,240.5,False
1,2017-04-28,264.7,False
1,2017-05-03,254.4,False
1,2017-05-10,229.5,False
1,2017-05-17,238.9,False
1,2017-05-26,265.5,False
1,2017-06-07,246.2,False
1,2017-06-14,234.5,False
1,2017-06-21,232.2,False
1,2017-06-30,262.1,False
1,2017-07-05,240.5,False
1,2017-07-12,234.2,False
1,2017-07-19,226.7,False
1,2017-07-25,263.1,False
1,2017-07-28,253.7,False
1,2017-08-09,246.0,False
1,2017-08-16,229.0,False
1,2017-08-30,247.5,True
1,2017-09-02,285.2,False
1,2017-09-06,246.8,False
1,2017-09-13,221.8,False
1,2017-09-20,224.1,False
1,2017-09-26,258.9,False
1,2017-10-04,240.0,False
1,2017-10-11,241.4,False
1,2017-10-18,232.2,False
1,2017-10-23,265.1,True
1,2017-10-24,242.8,False
1,2017-11-01,256.3,False
1,2017-11-08,247.4,False
1,2017-11-15,322.3,True
1,2017-11-28,248.5,False
1,2017-12-06,302.3,False
1,2017-12-13,355.0,False
1,2017-12-20,237.3,True
1,2017-12-27,264.7,False
1,2018-01-03,237.9,False
1,2018-01-10,221.0,False
1,2018-01-17,218.1,False
1,2018-01-24,271.3,False
1,2018-02-07,288.4,False
1,2018-02-14,247.4,False
1,2018-02-21,263.0,False
1,2018-02-27,265.8,False
1,2018-03-07,269.6,False
1,2018-03-14,246.2,False
1,2018-03-21,268.8,False
1,2018-03-27,274.5,False
1,2018-04-04,264.2,False
1,2018-04-11,248.0,False
1,2018-04-18,239.4,False
1,2018-05-01,268.5,False
1,2018-05-09,263.8,False
