"Country or Area","Year","Item","Value"
"Cook Islands","2015","Gross Domestic Product (GDP)","17182.6147660162"
"Cook Islands","2014","Gross Domestic Product (GDP)","18057.4161202197"
"Cook Islands","2013","Gross Domestic Product (GDP)","16217.2114987377"
"Cook Islands","2012","Gross Domestic Product (GDP)","16622.1208987868"
"Cook Islands","2011","Gross Domestic Product (GDP)","14947.5480838305"
"Cook Islands","2010","Gross Domestic Product (GDP)","13092.7319093479"
"Cook Islands","2009","Gross Domestic Product (GDP)","11588.4593648185"
"Cook Islands","2008","Gross Domestic Product (GDP)","11980.753831758"
"Cook Islands","2007","Gross Domestic Product (GDP)","11928.8791021861"
"Cook Islands","2006","Gross Domestic Product (GDP)","10736.1459040396"
"Cook Islands","2005","Gross Domestic Product (GDP)","10443.3543629289"
"Cook Islands","2004","Gross Domestic Product (GDP)","10301.7002160566"
"Cook Islands","2003","Gross Domestic Product (GDP)","8958.32801659206"
"Cook Islands","2002","Gross Domestic Product (GDP)","6638.13525491287"
"Cook Islands","2001","Gross Domestic Product (GDP)","5825.65418628899"
"Cook Islands","2000","Gross Domestic Product (GDP)","5576.33577711793"

