Country or Area,Year,Item,Value
Monaco,2015,Gross Domestic Product (GDP),165945.4568
Monaco,2014,Gross Domestic Product (GDP),189162.3289
Monaco,2013,Gross Domestic Product (GDP),177601.9249
Monaco,2012,Gross Domestic Product (GDP),157518.7633
Monaco,2011,Gross Domestic Product (GDP),168796.606
Monaco,2010,Gross Domestic Product (GDP),150577.0399
Monaco,2009,Gross Domestic Product (GDP),154783.4801
Monaco,2008,Gross Domestic Product (GDP),185729.4721
Monaco,2007,Gross Domestic Product (GDP),169966.496
Monaco,2006,Gross Domestic Product (GDP),134036.6239
Monaco,2005,Gross Domestic Product (GDP),124190.4064
Monaco,2004,Gross Domestic Product (GDP),120878.0106
Monaco,2003,Gross Domestic Product (GDP),106243.4447
Monaco,2002,Gross Domestic Product (GDP),87178.78704
Monaco,2001,Gross Domestic Product (GDP),81131.50462
Monaco,2000,Gross Domestic Product (GDP),81100.98429
