Country or Area,Year,Item,Value
Niue,2015,Gross Domestic Product (GDP),0
Niue,2014,Gross Domestic Product (GDP),0
Niue,2013,Gross Domestic Product (GDP),14546
Niue,2012,Gross Domestic Product (GDP),0
Niue,2011,Gross Domestic Product (GDP),0
Niue,2010,Gross Domestic Product (GDP),0
Niue,2009,Gross Domestic Product (GDP),0
Niue,2008,Gross Domestic Product (GDP),0
Niue,2007,Gross Domestic Product (GDP),0
Niue,2006,Gross Domestic Product (GDP),0
Niue,2005,Gross Domestic Product (GDP),0
Niue,2004,Gross Domestic Product (GDP),0
Niue,2003,Gross Domestic Product (GDP),0
Niue,2002,Gross Domestic Product (GDP),0
Niue,2001,Gross Domestic Product (GDP),0
Niue,2000,Gross Domestic Product (GDP),0
