"Country or Area","Year","Item","Value"
"Democratic People's Republic of Korea","2015","Gross Domestic Product (GDP)","649.855656002059"
"Democratic People's Republic of Korea","2014","Gross Domestic Product (GDP)","697.778207974367"
"Democratic People's Republic of Korea","2013","Gross Domestic Product (GDP)","667.872803927428"
"Democratic People's Republic of Korea","2012","Gross Domestic Product (GDP)","644.690217979731"
"Democratic People's Republic of Korea","2011","Gross Domestic Product (GDP)","639.127894720652"
"Democratic People's Republic of Korea","2010","Gross Domestic Product (GDP)","570.962745986111"
"Democratic People's Republic of Korea","2009","Gross Domestic Product (GDP)","495.190805357244"
"Democratic People's Republic of Korea","2008","Gross Domestic Product (GDP)","551.4155686582"
"Democratic People's Republic of Korea","2007","Gross Domestic Product (GDP)","597.319863751972"
"Democratic People's Republic of Korea","2006","Gross Domestic Product (GDP)","575.134105736627"
"Democratic People's Republic of Korea","2005","Gross Domestic Product (GDP)","547.930693664656"
"Democratic People's Republic of Korea","2004","Gross Domestic Product (GDP)","472.979840758936"
"Democratic People's Republic of Korea","2003","Gross Domestic Product (GDP)","470.976815547221"
"Democratic People's Republic of Korea","2002","Gross Domestic Product (GDP)","467.979239051173"
"Democratic People's Republic of Korea","2001","Gross Domestic Product (GDP)","476.12685062492"
"Democratic People's Republic of Korea","2000","Gross Domestic Product (GDP)","461.956494218708"

