"Country or Area","Year","Item","Value"
"Somalia","2015","Gross Domestic Product (GDP)","105.440171281026"
"Somalia","2014","Gross Domestic Product (GDP)","122.999027489305"
"Somalia","2013","Gross Domestic Product (GDP)","134.9249653884"
"Somalia","2012","Gross Domestic Product (GDP)","119.503069539308"
"Somalia","2011","Gross Domestic Product (GDP)","91.800935011446"
"Somalia","2010","Gross Domestic Product (GDP)","90.7335630505376"
"Somalia","2009","Gross Domestic Product (GDP)","106.390649898409"
"Somalia","2008","Gross Domestic Product (GDP)","228.128882862029"
"Somalia","2007","Gross Domestic Product (GDP)","224.094411719774"
"Somalia","2006","Gross Domestic Product (GDP)","222.039141002897"
"Somalia","2005","Gross Domestic Product (GDP)","221.650069107765"
"Somalia","2004","Gross Domestic Product (GDP)","195.894594559105"
"Somalia","2003","Gross Domestic Product (GDP)","154.526688802861"
"Somalia","2002","Gross Domestic Product (GDP)","128.315785839236"
"Somalia","2001","Gross Domestic Product (GDP)","141.792775958812"
"Somalia","2000","Gross Domestic Product (GDP)","231.288292383217"

