"Country or Area","Year","Item","Value"
"Afghanistan","2015","Gross Domestic Product (GDP)","543.768939572915"
"Afghanistan","2014","Gross Domestic Product (GDP)","585.862672812481"
"Afghanistan","2013","Gross Domestic Product (GDP)","608.058641695735"
"Afghanistan","2012","Gross Domestic Product (GDP)","614.109574005588"
"Afghanistan","2011","Gross Domestic Product (GDP)","576.101770275337"
"Afghanistan","2010","Gross Domestic Product (GDP)","503.636605605884"
"Afghanistan","2009","Gross Domestic Product (GDP)","408.35392962189"
"Afghanistan","2008","Gross Domestic Product (GDP)","369.266275046377"
"Afghanistan","2007","Gross Domestic Product (GDP)","347.305373023029"
"Afghanistan","2006","Gross Domestic Product (GDP)","268.781382149277"
"Afghanistan","2005","Gross Domestic Product (GDP)","242.477078856203"
"Afghanistan","2004","Gross Domestic Product (GDP)","217.92174427668"
"Afghanistan","2003","Gross Domestic Product (GDP)","199.698827765619"
"Afghanistan","2002","Gross Domestic Product (GDP)","183.247028430709"
"Afghanistan","2001","Gross Domestic Product (GDP)","166.541980567765"
"Afghanistan","2000","Gross Domestic Product (GDP)","160.829727001827"
"Albania","2015","Gross Domestic Product (GDP)","3939.41312588328"
"Albania","2014","Gross Domestic Product (GDP)","4567.28144268118"
"Albania","2013","Gross Domestic Product (GDP)","4399.86388056373"
"Albania","2012","Gross Domestic Product (GDP)","4227.65056616574"
"Albania","2011","Gross Domestic Product (GDP)","4401.73070298823"
"Albania","2010","Gross Domestic Product (GDP)","4045.74465139427"
"Albania","2009","Gross Domestic Product (GDP)","4051.13216810586"
"Albania","2008","Gross Domestic Product (GDP)","4289.95451998965"
"Albania","2007","Gross Domestic Product (GDP)","3519.22520063767"
"Albania","2006","Gross Domestic Product (GDP)","2904.34704954712"
"Albania","2005","Gross Domestic Product (GDP)","2608.543873609"
"Albania","2004","Gross Domestic Product (GDP)","2311.52335245864"
"Albania","2003","Gross Domestic Product (GDP)","1783.64927411797"
"Albania","2002","Gross Domestic Product (GDP)","1393.34783514646"
"Albania","2001","Gross Domestic Product (GDP)","1254.71533298906"
"Albania","2000","Gross Domestic Product (GDP)","1114.51437361059"
"Algeria","2015","Gross Domestic Product (GDP)","4177.88497642508"
"Algeria","2014","Gross Domestic Product (GDP)","5493.05496199511"
"Algeria","2013","Gross Domestic Product (GDP)","5499.58761944181"
"Algeria","2012","Gross Domestic Product (GDP)","5592.22315165354"
"Algeria","2011","Gross Domestic Product (GDP)","5455.84340750883"
"Algeria","2010","Gross Domestic Product (GDP)","4480.78682343691"
"Algeria","2009","Gross Domestic Product (GDP)","3883.27023631536"
"Algeria","2008","Gross Domestic Product (GDP)","4923.63082543064"
"Algeria","2007","Gross Domestic Product (GDP)","3950.51362457342"
"Algeria","2006","Gross Domestic Product (GDP)","3478.70963948407"
"Algeria","2005","Gross Domestic Product (GDP)","3113.09427696397"
"Algeria","2004","Gross Domestic Product (GDP)","2610.1826855748"
"Algeria","2003","Gross Domestic Product (GDP)","2103.382140932"
"Algeria","2002","Gross Domestic Product (GDP)","1783.67654905702"
"Algeria","2001","Gross Domestic Product (GDP)","1750.52727373646"
"Algeria","2000","Gross Domestic Product (GDP)","1761.04899845694"
"Andorra","2015","Gross Domestic Product (GDP)","35748.2630493423"
"Andorra","2014","Gross Domestic Product (GDP)","41247.4523864298"
"Andorra","2013","Gross Domestic Product (GDP)","39525.1329105252"
"Andorra","2012","Gross Domestic Product (GDP)","38686.7207841207"
"Andorra","2011","Gross Domestic Product (GDP)","43277.8037312818"
"Andorra","2010","Gross Domestic Product (GDP)","40812.3909264586"
"Andorra","2009","Gross Domestic Product (GDP)","43500.5419750873"
"Andorra","2008","Gross Domestic Product (GDP)","48720.3222260479"
"Andorra","2007","Gross Domestic Product (GDP)","47801.2098717545"
"Andorra","2006","Gross Domestic Product (GDP)","42673.5806357839"
"Andorra","2005","Gross Domestic Product (GDP)","40065.315866936"
"Andorra","2004","Gross Domestic Product (GDP)","37970.7550974486"
"Andorra","2003","Gross Domestic Product (GDP)","32270.7171850596"
"Andorra","2002","Gross Domestic Product (GDP)","25068.0651503663"
"Andorra","2001","Gross Domestic Product (GDP)","22971.3438617688"
"Andorra","2000","Gross Domestic Product (GDP)","21854.1774276659"
"Angola","2015","Gross Domestic Product (GDP)","4166.97962608838"
"Angola","2014","Gross Domestic Product (GDP)","5408.40956818969"
"Angola","2013","Gross Domestic Product (GDP)","5254.883253258"
"Angola","2012","Gross Domestic Product (GDP)","5100.09818959729"
"Angola","2011","Gross Domestic Product (GDP)","4615.47048481311"
"Angola","2010","Gross Domestic Product (GDP)","3587.88304121492"
"Angola","2009","Gross Domestic Product (GDP)","3122.78207866983"
"Angola","2008","Gross Domestic Product (GDP)","4080.9438842948"
"Angola","2007","Gross Domestic Product (GDP)","3121.99389730636"
"Angola","2006","Gross Domestic Product (GDP)","2599.5673678604"
"Angola","2005","Gross Domestic Product (GDP)","1902.42025532228"
"Angola","2004","Gross Domestic Product (GDP)","1255.56369514904"
"Angola","2003","Gross Domestic Product (GDP)","982.960862423667"
"Angola","2002","Gross Domestic Product (GDP)","872.494357969998"
"Angola","2001","Gross Domestic Product (GDP)","705.108898714797"
"Angola","2000","Gross Domestic Product (GDP)","744.556413409248"
"Anguilla","2015","Gross Domestic Product (GDP)","23148.2129934402"
"Anguilla","2014","Gross Domestic Product (GDP)","22369.1945914168"
"Anguilla","2013","Gross Domestic Product (GDP)","20509.1862681084"
"Anguilla","2012","Gross Domestic Product (GDP)","20624.2197253433"
"Anguilla","2011","Gross Domestic Product (GDP)","21529.0694512427"
"Anguilla","2010","Gross Domestic Product (GDP)","20056.4457894418"
"Anguilla","2009","Gross Domestic Product (GDP)","21450.6405636289"
"Anguilla","2008","Gross Domestic Product (GDP)","27241.771358743"
"Anguilla","2007","Gross Domestic Product (GDP)","27557.5933409319"
"Anguilla","2006","Gross Domestic Product (GDP)","22360.295687837"
"Anguilla","2005","Gross Domestic Product (GDP)","18388.6893534505"
"Anguilla","2004","Gross Domestic Product (GDP)","16439.548973481"
"Anguilla","2003","Gross Domestic Product (GDP)","14224.3233125635"
"Anguilla","2002","Gross Domestic Product (GDP)","13402.7071583104"
"Anguilla","2001","Gross Domestic Product (GDP)","13454.4589183191"
"Anguilla","2000","Gross Domestic Product (GDP)","13352.0959895196"
"Antigua and Barbuda","2015","Gross Domestic Product (GDP)","14286.0931598293"
"Antigua and Barbuda","2014","Gross Domestic Product (GDP)","13501.5809223367"
"Antigua and Barbuda","2013","Gross Domestic Product (GDP)","12909.7441775006"
"Antigua and Barbuda","2012","Gross Domestic Product (GDP)","13272.4413293826"
"Antigua and Barbuda","2011","Gross Domestic Product (GDP)","12746.2050243357"
"Antigua and Barbuda","2010","Gross Domestic Product (GDP)","13049.2570545735"
"Antigua and Barbuda","2009","Gross Domestic Product (GDP)","14160.0722757203"
"Antigua and Barbuda","2008","Gross Domestic Product (GDP)","16043.5421662397"
"Antigua and Barbuda","2007","Gross Domestic Product (GDP)","15499.8320625626"
"Antigua and Barbuda","2006","Gross Domestic Product (GDP)","13893.2328052564"
"Antigua and Barbuda","2005","Gross Domestic Product (GDP)","12459.1110474619"
"Antigua and Barbuda","2004","Gross Domestic Product (GDP)","11182.4780366903"
"Antigua and Barbuda","2003","Gross Domestic Product (GDP)","10592.6392975573"
"Antigua and Barbuda","2002","Gross Domestic Product (GDP)","10250.0750958507"
"Antigua and Barbuda","2001","Gross Domestic Product (GDP)","10021.3265640919"
"Antigua and Barbuda","2000","Gross Domestic Product (GDP)","10311.4743874584"
"Argentina","2015","Gross Domestic Product (GDP)","14971.4909427362"
"Argentina","2014","Gross Domestic Product (GDP)","13299.325688671"
"Argentina","2013","Gross Domestic Product (GDP)","14534.922535531"
"Argentina","2012","Gross Domestic Product (GDP)","13924.7557212443"
"Argentina","2011","Gross Domestic Product (GDP)","12830.3911298647"
"Argentina","2010","Gross Domestic Product (GDP)","10428.6487964443"
