"Country or Area","Year","Item","Value"
"Tajikistan","2015","Gross Domestic Product (GDP)","978.401293730844"
"Tajikistan","2014","Gross Domestic Product (GDP)","1148.4260339626"
"Tajikistan","2013","Gross Domestic Product (GDP)","1073.67705419482"
"Tajikistan","2012","Gross Domestic Product (GDP)","977.656568894727"
"Tajikistan","2011","Gross Domestic Product (GDP)","847.385165253773"
"Tajikistan","2010","Gross Domestic Product (GDP)","749.552349165661"
"Tajikistan","2009","Gross Domestic Product (GDP)","676.108948745389"
"Tajikistan","2008","Gross Domestic Product (GDP)","715.851808347795"
"Tajikistan","2007","Gross Domestic Product (GDP)","526.633126147083"
"Tajikistan","2006","Gross Domestic Product (GDP)","408.828798727375"
"Tajikistan","2005","Gross Domestic Product (GDP)","340.581949416767"
"Tajikistan","2004","Gross Domestic Product (GDP)","311.616344811242"
"Tajikistan","2003","Gross Domestic Product (GDP)","237.715091616745"
"Tajikistan","2002","Gross Domestic Product (GDP)","189.988950700389"
"Tajikistan","2001","Gross Domestic Product (GDP)","171.068599287595"
"Tajikistan","2000","Gross Domestic Product (GDP)","138.455456921365"
"Thailand","2015","Gross Domestic Product (GDP)","5840.05005486905"
"Thailand","2014","Gross Domestic Product (GDP)","5951.87845192096"
"Thailand","2013","Gross Domestic Product (GDP)","6168.26861550822"
"Thailand","2012","Gross Domestic Product (GDP)","5860.58459502108"
"Thailand","2011","Gross Domestic Product (GDP)","5492.11524963591"
"Thailand","2010","Gross Domestic Product (GDP)","5076.33796430965"
"Thailand","2009","Gross Domestic Product (GDP)","4213.00820984452"
"Thailand","2008","Gross Domestic Product (GDP)","4379.65843957739"
"Thailand","2007","Gross Domestic Product (GDP)","3973.02010083418"
"Thailand","2006","Gross Domestic Product (GDP)","3369.54609860473"
"Thailand","2005","Gross Domestic Product (GDP)","2894.06124245945"
"Thailand","2004","Gross Domestic Product (GDP)","2660.12524668524"
"Thailand","2003","Gross Domestic Product (GDP)","2359.11591930304"
"Thailand","2002","Gross Domestic Product (GDP)","2096.18881189867"
"Thailand","2001","Gross Domestic Product (GDP)","1893.26405987891"
"Thailand","2000","Gross Domestic Product (GDP)","2007.73500822191"
"Timor-Leste","2015","Gross Domestic Product (GDP)","1332.78292939408"
"Timor-Leste","2014","Gross Domestic Product (GDP)","1232.45241247996"
"Timor-Leste","2013","Gross Domestic Product (GDP)","1210.02938366106"
"Timor-Leste","2012","Gross Domestic Product (GDP)","1024.17973175498"
"Timor-Leste","2011","Gross Domestic Product (GDP)","936.451100524547"
"Timor-Leste","2010","Gross Domestic Product (GDP)","806.409920047406"
"Timor-Leste","2009","Gross Domestic Product (GDP)","676.624734588937"
"Timor-Leste","2008","Gross Domestic Product (GDP)","614.434052060248"
"Timor-Leste","2007","Gross Domestic Product (GDP)","523.735658901265"
"Timor-Leste","2006","Gross Domestic Product (GDP)","446.468722944575"
"Timor-Leste","2005","Gross Domestic Product (GDP)","464.543561426339"
"Timor-Leste","2004","Gross Domestic Product (GDP)","453.511417409118"
"Timor-Leste","2003","Gross Domestic Product (GDP)","517.828023836775"
"Timor-Leste","2002","Gross Domestic Product (GDP)","508.843335927187"
"Timor-Leste","2001","Gross Domestic Product (GDP)","529.778168115453"
"Timor-Leste","2000","Gross Domestic Product (GDP)","415.083479012083"
"Togo","2015","Gross Domestic Product (GDP)","729.972461894151"
"Togo","2014","Gross Domestic Product (GDP)","779.670294422698"
"Togo","2013","Gross Domestic Product (GDP)","720.256705188008"
"Togo","2012","Gross Domestic Product (GDP)","631.103907565377"
"Togo","2011","Gross Domestic Product (GDP)","615.963120031608"
"Togo","2010","Gross Domestic Product (GDP)","533.508768739606"
"Togo","2009","Gross Domestic Product (GDP)","538.44196211875"
"Togo","2008","Gross Domestic Product (GDP)","544.147577365168"
"Togo","2007","Gross Domestic Product (GDP)","449.144249142541"
"Togo","2006","Gross Domestic Product (GDP)","407.694690398901"
"Togo","2005","Gross Domestic Product (GDP)","406.400917531981"
"Togo","2004","Gross Domestic Product (GDP)","412.589384695121"
"Togo","2003","Gross Domestic Product (GDP)","396.030034604039"
"Togo","2002","Gross Domestic Product (GDP)","326.855598433049"
"Togo","2001","Gross Domestic Product (GDP)","292.567354802295"
"Togo","2000","Gross Domestic Product (GDP)","302.206405147466"
"Tonga","2015","Gross Domestic Product (GDP)","4001.2408795295"
"Tonga","2014","Gross Domestic Product (GDP)","4272.75197890677"
"Tonga","2013","Gross Domestic Product (GDP)","4328.50263203234"
"Tonga","2012","Gross Domestic Product (GDP)","4516.17174426207"
"Tonga","2011","Gross Domestic Product (GDP)","4241.45666977877"
"Tonga","2010","Gross Domestic Product (GDP)","3570.19046873975"
"Tonga","2009","Gross Domestic Product (GDP)","3082.4876250797"
"Tonga","2008","Gross Domestic Product (GDP)","3260.27869341326"
"Tonga","2007","Gross Domestic Product (GDP)","2956.93082641439"
"Tonga","2006","Gross Domestic Product (GDP)","2849.21889314556"
"Tonga","2005","Gross Domestic Product (GDP)","2588.17159469853"
"Tonga","2004","Gross Domestic Product (GDP)","2388.10842340125"
"Tonga","2003","Gross Domestic Product (GDP)","2077.76393632977"
"Tonga","2002","Gross Domestic Product (GDP)","1832.75006745584"
"Tonga","2001","Gross Domestic Product (GDP)","1694.91509527728"
"Tonga","2000","Gross Domestic Product (GDP)","1948.90709784717"
"Trinidad and Tobago","2015","Gross Domestic Product (GDP)","18383.5923593144"
"Trinidad and Tobago","2014","Gross Domestic Product (GDP)","20290.4005588961"
"Trinidad and Tobago","2013","Gross Domestic Product (GDP)","20162.8076802419"
"Trinidad and Tobago","2012","Gross Domestic Product (GDP)","19171.1395382458"
"Trinidad and Tobago","2011","Gross Domestic Product (GDP)","19099.0338336971"
"Trinidad and Tobago","2010","Gross Domestic Product (GDP)","16713.7605395232"
"Trinidad and Tobago","2009","Gross Domestic Product (GDP)","14565.8614195277"
"Trinidad and Tobago","2008","Gross Domestic Product (GDP)","21275.2110082305"
"Trinidad and Tobago","2007","Gross Domestic Product (GDP)","16596.7393051718"
"Trinidad and Tobago","2006","Gross Domestic Product (GDP)","14150.3566850194"
"Trinidad and Tobago","2005","Gross Domestic Product (GDP)","12369.3245561459"
"Trinidad and Tobago","2004","Gross Domestic Product (GDP)","10328.9034275759"
"Trinidad and Tobago","2003","Gross Domestic Product (GDP)","8837.9153552427"
"Trinidad and Tobago","2002","Gross Domestic Product (GDP)","7077.12466556357"
"Trinidad and Tobago","2001","Gross Domestic Product (GDP)","6963.4062391512"
"Trinidad and Tobago","2000","Gross Domestic Product (GDP)","6457.13513373711"
"Tunisia","2015","Gross Domestic Product (GDP)","3861.64387549047"
"Tunisia","2014","Gross Domestic Product (GDP)","4305.54342431581"
"Tunisia","2013","Gross Domestic Product (GDP)","4222.81266654213"
"Tunisia","2012","Gross Domestic Product (GDP)","4152.70310433947"
"Tunisia","2011","Gross Domestic Product (GDP)","4264.72543529107"
"Tunisia","2010","Gross Domestic Product (GDP)","4141.97635336459"
"Tunisia","2009","Gross Domestic Product (GDP)","4128.53922005581"
"Tunisia","2008","Gross Domestic Product (GDP)","4307.43104671352"
"Tunisia","2007","Gross Domestic Product (GDP)","3776.45594296184"
"Tunisia","2006","Gross Domestic Product (GDP)","3369.8601559177"
"Tunisia","2005","Gross Domestic Product (GDP)","3193.12453042764"
"Tunisia","2004","Gross Domestic Product (GDP)","3111.45796383499"
"Tunisia","2003","Gross Domestic Product (GDP)","2760.49577693444"
"Tunisia","2002","Gross Domestic Product (GDP)","2344.34431652511"
"Tunisia","2001","Gross Domestic Product (GDP)","2253.01803759606"
"Tunisia","2000","Gross Domestic Product (GDP)","2211.86122654007"
"Turkey","2015","Gross Domestic Product (GDP)","11006.2455757441"
"Turkey","2014","Gross Domestic Product (GDP)","12157.7557371229"
"Turkey","2013","Gross Domestic Product (GDP)","12614.9907125853"
"Turkey","2012","Gross Domestic Product (GDP)","11795.6266228172"
"Turkey","2011","Gross Domestic Product (GDP)","11420.8659627435"
"Turkey","2010","Gross Domestic Product (GDP)","10742.4279527653"
"Turkey","2009","Gross Domestic Product (GDP)","9103.71119979131"
"Turkey","2008","Gross Domestic Product (GDP)","10940.9909425475"
"Turkey","2007","Gross Domestic Product (GDP)","9791.65103447028"
"Turkey","2006","Gross Domestic Product (GDP)","8102.12103670135"
"Turkey","2005","Gross Domestic Product (GDP)","7456.38896024784"
"Turkey","2004","Gross Domestic Product (GDP)","6101.47268000736"
"Turkey","2003","Gross Domestic Product (GDP)","4760.1509274577"
"Turkey","2002","Gross Domestic Product (GDP)","3687.89089361652"
"Turkey","2001","Gross Domestic Product (GDP)","3142.95155071325"
"Turkey","2000","Gross Domestic Product (GDP)","4337.34979565455"
"Turkmenistan","2015","Gross Domestic Product (GDP)","6477.94123371102"
"Turkmenistan","2014","Gross Domestic Product (GDP)","7962.23909840679"
"Turkmenistan","2013","Gross Domestic Product (GDP)","7304.28304894831"
"Turkmenistan","2012","Gross Domestic Product (GDP)","6675.19897905321"
"Turkmenistan","2011","Gross Domestic Product (GDP)","5649.95227819669"
"Turkmenistan","2010","Gross Domestic Product (GDP)","4439.20038235805"
"Turkmenistan","2009","Gross Domestic Product (GDP)","4036.4559987796"
"Turkmenistan","2008","Gross Domestic Product (GDP)","4381.99717082039"
"Turkmenistan","2007","Gross Domestic Product (GDP)","3797.44993564012"
"Turkmenistan","2006","Gross Domestic Product (GDP)","3370.9379534746"
"Turkmenistan","2005","Gross Domestic Product (GDP)","2981.06244072378"
"Turkmenistan","2004","Gross Domestic Product (GDP)","2584.98869716495"
"Turkmenistan","2003","Gross Domestic Product (GDP)","2422.06831533887"
"Turkmenistan","2002","Gross Domestic Product (GDP)","1887.19605927342"
"Turkmenistan","2001","Gross Domestic Product (GDP)","1479.73835135035"
"Turkmenistan","2000","Gross Domestic Product (GDP)","1092.15288661952"
"Turks and Caicos Islands","2015","Gross Domestic Product (GDP)","26182.4296156305"
"Turks and Caicos Islands","2014","Gross Domestic Product (GDP)","23779.8637224688"
"Turks and Caicos Islands","2013","Gross Domestic Product (GDP)","21716.5644525064"
"Turks and Caicos Islands","2012","Gross Domestic Product (GDP)","21345.6525568015"
"Turks and Caicos Islands","2011","Gross Domestic Product (GDP)","21835.0832609282"
"Turks and Caicos Islands","2010","Gross Domestic Product (GDP)","21028.4082669933"
"Turks and Caicos Islands","2009","Gross Domestic Product (GDP)","22019.6576376276"
"Turks and Caicos Islands","2008","Gross Domestic Product (GDP)","27648.3441446061"
"Turks and Caicos Islands","2007","Gross Domestic Product (GDP)","25456.3022544018"
"Turks and Caicos Islands","2006","Gross Domestic Product (GDP)","24561.6506073288"
"Turks and Caicos Islands","2005","Gross Domestic Product (GDP)","20533.9161816891"
"Turks and Caicos Islands","2004","Gross Domestic Product (GDP)","18187.2211985019"
"Turks and Caicos Islands","2003","Gross Domestic Product (GDP)","16382.9371076726"
"Turks and Caicos Islands","2002","Gross Domestic Product (GDP)","15784.6036501377"
"Turks and Caicos Islands","2001","Gross Domestic Product (GDP)","16629.3423260557"
"Turks and Caicos Islands","2000","Gross Domestic Product (GDP)","15842.2601666336"
"Tuvalu","2015","Gross Domestic Product (GDP)","3260.99751899734"
"Tuvalu","2014","Gross Domestic Product (GDP)","3425.73380966968"
"Tuvalu","2013","Gross Domestic Product (GDP)","3455.05236781458"
"Tuvalu","2012","Gross Domestic Product (GDP)","3464.11927633445"
"Tuvalu","2011","Gross Domestic Product (GDP)","3597.53538488616"
"Tuvalu","2010","Gross Domestic Product (GDP)","2981.54785483333"
"Tuvalu","2009","Gross Domestic Product (GDP)","2583.04893991645"
