Country or Area,Year,Item,Value
Lao People's Democratic Republic,2015,Gross Domestic Product (GDP),2134.712363
Lao People's Democratic Republic,2014,Gross Domestic Product (GDP),1998.329714
Lao People's Democratic Republic,2013,Gross Domestic Product (GDP),1825.665622
Lao People's Democratic Republic,2012,Gross Domestic Product (GDP),1581.396172
Lao People's Democratic Republic,2011,Gross Domestic Product (GDP),1377.175707
Lao People's Democratic Republic,2010,Gross Domestic Product (GDP),1170.308459
Lao People's Democratic Republic,2009,Gross Domestic Product (GDP),985.0899461
Lao People's Democratic Republic,2008,Gross Domestic Product (GDP),947.928502
Lao People's Democratic Republic,2007,Gross Domestic Product (GDP),768.7213379
Lao People's Democratic Republic,2006,Gross Domestic Product (GDP),616.8218021
Lao People's Democratic Republic,2005,Gross Domestic Product (GDP),512.2594297
Lao People's Democratic Republic,2004,Gross Domestic Product (GDP),455.0942168
Lao People's Democratic Republic,2003,Gross Domestic Product (GDP),391.6837561
Lao People's Democratic Republic,2002,Gross Domestic Product (GDP),347.1295107
Lao People's Democratic Republic,2001,Gross Domestic Product (GDP),337.8004127
Lao People's Democratic Republic,2000,Gross Domestic Product (GDP),339.2429128
Latvia,2015,Gross Domestic Product (GDP),13641.92988
Latvia,2014,Gross Domestic Product (GDP),15508.04177
Latvia,2013,Gross Domestic Product (GDP),14768.46796
Latvia,2012,Gross Domestic Product (GDP),13617.93044
Latvia,2011,Gross Domestic Product (GDP),13236.39823
Latvia,2010,Gross Domestic Product (GDP),11309.85156
Latvia,2009,Gross Domestic Product (GDP),12315.16203
Latvia,2008,Gross Domestic Product (GDP),16512.14927
Latvia,2007,Gross Domestic Product (GDP),14128.66529
Latvia,2006,Gross Domestic Product (GDP),9694.259904
Latvia,2005,Gross Domestic Product (GDP),7550.222752
Latvia,2004,Gross Domestic Product (GDP),6334.587245
Latvia,2003,Gross Domestic Product (GDP),5105.045425
Latvia,2002,Gross Domestic Product (GDP),4097.246406
Latvia,2001,Gross Domestic Product (GDP),3545.174476
Latvia,2000,Gross Domestic Product (GDP),3338.324607
Lebanon,2015,Gross Domestic Product (GDP),7663.923752
Lebanon,2014,Gross Domestic Product (GDP),7687.761792
Lebanon,2013,Gross Domestic Product (GDP),7933.22527
Lebanon,2012,Gross Domestic Product (GDP),7952.162754
Lebanon,2011,Gross Domestic Product (GDP),7675.303038
Lebanon,2010,Gross Domestic Product (GDP),7761.646191
Lebanon,2009,Gross Domestic Product (GDP),7354.953605
Lebanon,2008,Gross Domestic Product (GDP),6111.332411
Lebanon,2007,Gross Domestic Product (GDP),5207.796
Lebanon,2006,Gross Domestic Product (GDP),4626.859808
Lebanon,2005,Gross Domestic Product (GDP),4575.105512
Lebanon,2004,Gross Domestic Product (GDP),4630.789572
Lebanon,2003,Gross Domestic Product (GDP),4512.280099
Lebanon,2002,Gross Domestic Product (GDP),4474.28117
Lebanon,2001,Gross Domestic Product (GDP),4275.937288
Lebanon,2000,Gross Domestic Product (GDP),4340.229536
Lesotho,2015,Gross Domestic Product (GDP),1146.023642
Lesotho,2014,Gross Domestic Product (GDP),1194.582261
Lesotho,2013,Gross Domestic Product (GDP),1166.202723
Lesotho,2012,Gross Domestic Product (GDP),1229.9368
Lesotho,2011,Gross Domestic Product (GDP),1287.048289
Lesotho,2010,Gross Domestic Product (GDP),1119.63393
Lesotho,2009,Gross Domestic Product (GDP),874.7639871
Lesotho,2008,Gross Domestic Product (GDP),889.1735983
Lesotho,2007,Gross Domestic Product (GDP),846.6018231
Lesotho,2006,Gross Domestic Product (GDP),765.3651673
Lesotho,2005,Gross Domestic Product (GDP),730.692726
Lesotho,2004,Gross Domestic Product (GDP),655.8409339
Lesotho,2003,Gross Domestic Product (GDP),511.827831
Lesotho,2002,Gross Domestic Product (GDP),344.8773561
Lesotho,2001,Gross Domestic Product (GDP),369.8694689
Lesotho,2000,Gross Domestic Product (GDP),404.4161759
Liberia,2015,Gross Domestic Product (GDP),596.7939932
Liberia,2014,Gross Domestic Product (GDP),470.9249167
Liberia,2013,Gross Domestic Product (GDP),455.7080493
Liberia,2012,Gross Domestic Product (GDP),419.2802163
Liberia,2011,Gross Domestic Product (GDP),382.8305716
Liberia,2010,Gross Domestic Product (GDP),332.0179392
Liberia,2009,Gross Domestic Product (GDP),307.6609166
Liberia,2008,Gross Domestic Product (GDP),305.1670519
Liberia,2007,Gross Domestic Product (GDP),274.1260535
Liberia,2006,Gross Domestic Product (GDP),244.9288522
Liberia,2005,Gross Domestic Product (GDP),219.4552832
Liberia,2004,Gross Domestic Product (GDP),205.3538232
Liberia,2003,Gross Domestic Product (GDP),171.9380951
Liberia,2002,Gross Domestic Product (GDP),227.0229392
Liberia,2001,Gross Domestic Product (GDP),215.918891
Liberia,2000,Gross Domestic Product (GDP),226.4189017
Libya,2015,Gross Domestic Product (GDP),7559.933245
Libya,2014,Gross Domestic Product (GDP),8982.122587
Libya,2013,Gross Domestic Product (GDP),11898.53721
Libya,2012,Gross Domestic Product (GDP),14718.0878
Libya,2011,Gross Domestic Product (GDP),7720.978791
Libya,2010,Gross Domestic Product (GDP),12168.75418
Libya,2009,Gross Domestic Product (GDP),9912.116371
Libya,2008,Gross Domestic Product (GDP),14311.6563
Libya,2007,Gross Domestic Product (GDP),11386.68412
Libya,2006,Gross Domestic Product (GDP),10208.17668
Libya,2005,Gross Domestic Product (GDP),8424.894333
Libya,2004,Gross Domestic Product (GDP),6154.705822
Libya,2003,Gross Domestic Product (GDP),4839.36144
Libya,2002,Gross Domestic Product (GDP),4033.846989
Libya,2001,Gross Domestic Product (GDP),6257.537291
Libya,2000,Gross Domestic Product (GDP),7180.158489
Liechtenstein,2015,Gross Domestic Product (GDP),167294.1857
Liechtenstein,2014,Gross Domestic Product (GDP),178853.1346
Liechtenstein,2013,Gross Domestic Product (GDP),173057.655
Liechtenstein,2012,Gross Domestic Product (GDP),164807.7526
Liechtenstein,2011,Gross Domestic Product (GDP),174912.6198
Liechtenstein,2010,Gross Domestic Product (GDP),156166.506
