"Country or Area","Year(s)","Variant","Value"
"Czechia","2015","Medium","10601.397"
"Czechia","2015","High","10601.397"
"Czechia","2015","Low","10601.397"
"Czechia","2015","Constant fertility","10601.397"
"Czechia","2015","Instant replacement","10601.397"
"Czechia","2015","Zero migration","10601.397"
"Czechia","2015","Constant mortality","10601.397"
"Czechia","2015","No change","10601.397"
"Czechia","2015","Momentum","10601.397"
"Czechia","2014","Medium","10591.108"
"Czechia","2014","High","10591.108"
"Czechia","2014","Low","10591.108"
"Czechia","2014","Constant fertility","10591.108"
"Czechia","2014","Instant replacement","10591.108"
"Czechia","2014","Zero migration","10591.108"
"Czechia","2014","Constant mortality","10591.108"
"Czechia","2014","No change","10591.108"
"Czechia","2014","Momentum","10591.108"
"Czechia","2013","Medium","10586.533"
"Czechia","2013","High","10586.533"
"Czechia","2013","Low","10586.533"
"Czechia","2013","Constant fertility","10586.533"
"Czechia","2013","Instant replacement","10586.533"
"Czechia","2013","Zero migration","10586.533"
"Czechia","2013","Constant mortality","10586.533"
"Czechia","2013","No change","10586.533"
"Czechia","2013","Momentum","10586.533"
"Czechia","2012","Medium","10581.293"
"Czechia","2012","High","10581.293"
"Czechia","2012","Low","10581.293"
"Czechia","2012","Constant fertility","10581.293"
"Czechia","2012","Instant replacement","10581.293"
"Czechia","2012","Zero migration","10581.293"
"Czechia","2012","Constant mortality","10581.293"
"Czechia","2012","No change","10581.293"
"Czechia","2012","Momentum","10581.293"
"Czechia","2011","Medium","10566.517"
"Czechia","2011","High","10566.517"
"Czechia","2011","Low","10566.517"
"Czechia","2011","Constant fertility","10566.517"
"Czechia","2011","Instant replacement","10566.517"
"Czechia","2011","Zero migration","10566.517"
"Czechia","2011","Constant mortality","10566.517"
"Czechia","2011","No change","10566.517"
"Czechia","2011","Momentum","10566.517"
"Czechia","2010","Medium","10536.518"
"Czechia","2010","High","10536.518"
"Czechia","2010","Low","10536.518"
"Czechia","2010","Constant fertility","10536.518"
"Czechia","2010","Instant replacement","10536.518"
"Czechia","2010","Zero migration","10536.518"
"Czechia","2010","Constant mortality","10536.518"
"Czechia","2010","No change","10536.518"
"Czechia","2010","Momentum","10536.518"
"Czechia","2009","Medium","10488.155"
"Czechia","2009","High","10488.155"
"Czechia","2009","Low","10488.155"
"Czechia","2009","Constant fertility","10488.155"
"Czechia","2009","Instant replacement","10488.155"
"Czechia","2009","Zero migration","10488.155"
"Czechia","2009","Constant mortality","10488.155"
"Czechia","2009","No change","10488.155"
"Czechia","2009","Momentum","10488.155"
"Czechia","2008","Medium","10425.266"
"Czechia","2008","High","10425.266"
"Czechia","2008","Low","10425.266"
"Czechia","2008","Constant fertility","10425.266"
"Czechia","2008","Instant replacement","10425.266"
"Czechia","2008","Zero migration","10425.266"
"Czechia","2008","Constant mortality","10425.266"
"Czechia","2008","No change","10425.266"
"Czechia","2008","Momentum","10425.266"
"Czechia","2007","Medium","10357.538"
"Czechia","2007","High","10357.538"
"Czechia","2007","Low","10357.538"
"Czechia","2007","Constant fertility","10357.538"
"Czechia","2007","Instant replacement","10357.538"
"Czechia","2007","Zero migration","10357.538"
"Czechia","2007","Constant mortality","10357.538"
"Czechia","2007","No change","10357.538"
"Czechia","2007","Momentum","10357.538"
"Czechia","2006","Medium","10298.614"
"Czechia","2006","High","10298.614"
"Czechia","2006","Low","10298.614"
"Czechia","2006","Constant fertility","10298.614"
"Czechia","2006","Instant replacement","10298.614"
"Czechia","2006","Zero migration","10298.614"
"Czechia","2006","Constant mortality","10298.614"
"Czechia","2006","No change","10298.614"
"Czechia","2006","Momentum","10298.614"
"Czechia","2005","Medium","10258.167"
"Czechia","2005","High","10258.167"
"Czechia","2005","Low","10258.167"
"Czechia","2005","Constant fertility","10258.167"
"Czechia","2005","Instant replacement","10258.167"
"Czechia","2005","Zero migration","10258.167"
"Czechia","2005","Constant mortality","10258.167"
"Czechia","2005","No change","10258.167"
"Czechia","2005","Momentum","10258.167"
"Czechia","2004","Medium","10239.439"
"Czechia","2004","High","10239.439"
"Czechia","2004","Low","10239.439"
"Czechia","2004","Constant fertility","10239.439"
"Czechia","2004","Instant replacement","10239.439"
"Czechia","2004","Zero migration","10239.439"
"Czechia","2004","Constant mortality","10239.439"
"Czechia","2004","No change","10239.439"
"Czechia","2004","Momentum","10239.439"
"Czechia","2003","Medium","10239.136"
"Czechia","2003","High","10239.136"
"Czechia","2003","Low","10239.136"
"Czechia","2003","Constant fertility","10239.136"
"Czechia","2003","Instant replacement","10239.136"
"Czechia","2003","Zero migration","10239.136"
"Czechia","2003","Constant mortality","10239.136"
"Czechia","2003","No change","10239.136"
"Czechia","2003","Momentum","10239.136"
"Czechia","2002","Medium","10252.261"
"Czechia","2002","High","10252.261"
"Czechia","2002","Low","10252.261"
"Czechia","2002","Constant fertility","10252.261"
"Czechia","2002","Instant replacement","10252.261"
"Czechia","2002","Zero migration","10252.261"
"Czechia","2002","Constant mortality","10252.261"
"Czechia","2002","No change","10252.261"
"Czechia","2002","Momentum","10252.261"
"Czechia","2001","Medium","10271.008"
"Czechia","2001","High","10271.008"
"Czechia","2001","Low","10271.008"
"Czechia","2001","Constant fertility","10271.008"
"Czechia","2001","Instant replacement","10271.008"
"Czechia","2001","Zero migration","10271.008"
"Czechia","2001","Constant mortality","10271.008"
"Czechia","2001","No change","10271.008"
"Czechia","2001","Momentum","10271.008"
"Czechia","2000","Medium","10289.373"
"Czechia","2000","High","10289.373"
"Czechia","2000","Low","10289.373"
"Czechia","2000","Constant fertility","10289.373"
"Czechia","2000","Instant replacement","10289.373"
"Czechia","2000","Zero migration","10289.373"
"Czechia","2000","Constant mortality","10289.373"
"Czechia","2000","No change","10289.373"
"Czechia","2000","Momentum","10289.373"

