"Country or Area","Year(s)","Variant","Value"
"Eritrea","2015","Medium","3342.818"
"Eritrea","2015","High","3342.818"
"Eritrea","2015","Low","3342.818"
"Eritrea","2015","Constant fertility","3342.818"
"Eritrea","2015","Instant replacement","3342.818"
"Eritrea","2015","Zero migration","3342.818"
"Eritrea","2015","Constant mortality","3342.818"
"Eritrea","2015","No change","3342.818"
"Eritrea","2015","Momentum","3342.818"
"Eritrea","2014","Medium","3311.449"
"Eritrea","2014","High","3311.449"
"Eritrea","2014","Low","3311.449"
"Eritrea","2014","Constant fertility","3311.449"
"Eritrea","2014","Instant replacement","3311.449"
"Eritrea","2014","Zero migration","3311.449"
"Eritrea","2014","Constant mortality","3311.449"
"Eritrea","2014","No change","3311.449"
"Eritrea","2014","Momentum","3311.449"
"Eritrea","2013","Medium","3281.449"
"Eritrea","2013","High","3281.449"
"Eritrea","2013","Low","3281.449"
"Eritrea","2013","Constant fertility","3281.449"
"Eritrea","2013","Instant replacement","3281.449"
"Eritrea","2013","Zero migration","3281.449"
"Eritrea","2013","Constant mortality","3281.449"
"Eritrea","2013","No change","3281.449"
"Eritrea","2013","Momentum","3281.449"
"Eritrea","2012","Medium","3250.1"
"Eritrea","2012","High","3250.1"
"Eritrea","2012","Low","3250.1"
"Eritrea","2012","Constant fertility","3250.1"
"Eritrea","2012","Instant replacement","3250.1"
"Eritrea","2012","Zero migration","3250.1"
"Eritrea","2012","Constant mortality","3250.1"
"Eritrea","2012","No change","3250.1"
"Eritrea","2012","Momentum","3250.1"
"Eritrea","2011","Medium","3213.972"
"Eritrea","2011","High","3213.972"
"Eritrea","2011","Low","3213.972"
"Eritrea","2011","Constant fertility","3213.972"
"Eritrea","2011","Instant replacement","3213.972"
"Eritrea","2011","Zero migration","3213.972"
"Eritrea","2011","Constant mortality","3213.972"
"Eritrea","2011","No change","3213.972"
"Eritrea","2011","Momentum","3213.972"
"Eritrea","2010","Medium","3170.435"
"Eritrea","2010","High","3170.435"
"Eritrea","2010","Low","3170.435"
"Eritrea","2010","Constant fertility","3170.435"
"Eritrea","2010","Instant replacement","3170.435"
"Eritrea","2010","Zero migration","3170.435"
"Eritrea","2010","Constant mortality","3170.435"
"Eritrea","2010","No change","3170.435"
"Eritrea","2010","Momentum","3170.435"
"Eritrea","2009","Medium","3119.92"
"Eritrea","2009","High","3119.92"
"Eritrea","2009","Low","3119.92"
"Eritrea","2009","Constant fertility","3119.92"
"Eritrea","2009","Instant replacement","3119.92"
"Eritrea","2009","Zero migration","3119.92"
"Eritrea","2009","Constant mortality","3119.92"
"Eritrea","2009","No change","3119.92"
"Eritrea","2009","Momentum","3119.92"
"Eritrea","2008","Medium","3062.779"
"Eritrea","2008","High","3062.779"
"Eritrea","2008","Low","3062.779"
"Eritrea","2008","Constant fertility","3062.779"
"Eritrea","2008","Instant replacement","3062.779"
"Eritrea","2008","Zero migration","3062.779"
"Eritrea","2008","Constant mortality","3062.779"
"Eritrea","2008","No change","3062.779"
"Eritrea","2008","Momentum","3062.779"
