"Country or Area","Year(s)","Variant","Value"
"Kyrgyzstan","2015","Medium","5959.121"
"Kyrgyzstan","2015","High","5959.121"
"Kyrgyzstan","2015","Low","5959.121"
"Kyrgyzstan","2015","Constant fertility","5959.121"
"Kyrgyzstan","2015","Instant replacement","5959.121"
"Kyrgyzstan","2015","Zero migration","5959.121"
"Kyrgyzstan","2015","Constant mortality","5959.121"
"Kyrgyzstan","2015","No change","5959.121"
"Kyrgyzstan","2015","Momentum","5959.121"
"Kyrgyzstan","2014","Medium","5844.532"
"Kyrgyzstan","2014","High","5844.532"
"Kyrgyzstan","2014","Low","5844.532"
"Kyrgyzstan","2014","Constant fertility","5844.532"
"Kyrgyzstan","2014","Instant replacement","5844.532"
"Kyrgyzstan","2014","Zero migration","5844.532"
"Kyrgyzstan","2014","Constant mortality","5844.532"
"Kyrgyzstan","2014","No change","5844.532"
"Kyrgyzstan","2014","Momentum","5844.532"
"Kyrgyzstan","2013","Medium","5731.303"
"Kyrgyzstan","2013","High","5731.303"
"Kyrgyzstan","2013","Low","5731.303"
"Kyrgyzstan","2013","Constant fertility","5731.303"
"Kyrgyzstan","2013","Instant replacement","5731.303"
"Kyrgyzstan","2013","Zero migration","5731.303"
"Kyrgyzstan","2013","Constant mortality","5731.303"
"Kyrgyzstan","2013","No change","5731.303"
"Kyrgyzstan","2013","Momentum","5731.303"
"Kyrgyzstan","2012","Medium","5621.576"
"Kyrgyzstan","2012","High","5621.576"
"Kyrgyzstan","2012","Low","5621.576"
"Kyrgyzstan","2012","Constant fertility","5621.576"
"Kyrgyzstan","2012","Instant replacement","5621.576"
"Kyrgyzstan","2012","Zero migration","5621.576"
"Kyrgyzstan","2012","Constant mortality","5621.576"
"Kyrgyzstan","2012","No change","5621.576"
"Kyrgyzstan","2012","Momentum","5621.576"
"Kyrgyzstan","2011","Medium","5517.922"
"Kyrgyzstan","2011","High","5517.922"
"Kyrgyzstan","2011","Low","5517.922"
"Kyrgyzstan","2011","Constant fertility","5517.922"
"Kyrgyzstan","2011","Instant replacement","5517.922"
"Kyrgyzstan","2011","Zero migration","5517.922"
"Kyrgyzstan","2011","Constant mortality","5517.922"
"Kyrgyzstan","2011","No change","5517.922"
"Kyrgyzstan","2011","Momentum","5517.922"
"Kyrgyzstan","2010","Medium","5422.293"
"Kyrgyzstan","2010","High","5422.293"
"Kyrgyzstan","2010","Low","5422.293"
"Kyrgyzstan","2010","Constant fertility","5422.293"
"Kyrgyzstan","2010","Instant replacement","5422.293"
"Kyrgyzstan","2010","Zero migration","5422.293"
"Kyrgyzstan","2010","Constant mortality","5422.293"
"Kyrgyzstan","2010","No change","5422.293"
"Kyrgyzstan","2010","Momentum","5422.293"
"Kyrgyzstan","2009","Medium","5334.71"
"Kyrgyzstan","2009","High","5334.71"
"Kyrgyzstan","2009","Low","5334.71"
"Kyrgyzstan","2009","Constant fertility","5334.71"
"Kyrgyzstan","2009","Instant replacement","5334.71"
"Kyrgyzstan","2009","Zero migration","5334.71"
"Kyrgyzstan","2009","Constant mortality","5334.71"
"Kyrgyzstan","2009","No change","5334.71"
"Kyrgyzstan","2009","Momentum","5334.71"
"Kyrgyzstan","2008","Medium","5254.979"
"Kyrgyzstan","2008","High","5254.979"
"Kyrgyzstan","2008","Low","5254.979"
"Kyrgyzstan","2008","Constant fertility","5254.979"
"Kyrgyzstan","2008","Instant replacement","5254.979"
"Kyrgyzstan","2008","Zero migration","5254.979"
"Kyrgyzstan","2008","Constant mortality","5254.979"
"Kyrgyzstan","2008","No change","5254.979"
"Kyrgyzstan","2008","Momentum","5254.979"
"Kyrgyzstan","2007","Medium","5184.392"
"Kyrgyzstan","2007","High","5184.392"
"Kyrgyzstan","2007","Low","5184.392"
"Kyrgyzstan","2007","Constant fertility","5184.392"
"Kyrgyzstan","2007","Instant replacement","5184.392"
"Kyrgyzstan","2007","Zero migration","5184.392"
"Kyrgyzstan","2007","Constant mortality","5184.392"
"Kyrgyzstan","2007","No change","5184.392"
"Kyrgyzstan","2007","Momentum","5184.392"
"Kyrgyzstan","2006","Medium","5124.382"
"Kyrgyzstan","2006","High","5124.382"
"Kyrgyzstan","2006","Low","5124.382"
"Kyrgyzstan","2006","Constant fertility","5124.382"
"Kyrgyzstan","2006","Instant replacement","5124.382"
"Kyrgyzstan","2006","Zero migration","5124.382"
"Kyrgyzstan","2006","Constant mortality","5124.382"
"Kyrgyzstan","2006","No change","5124.382"
"Kyrgyzstan","2006","Momentum","5124.382"
"Kyrgyzstan","2005","Medium","5075.347"
"Kyrgyzstan","2005","High","5075.347"
"Kyrgyzstan","2005","Low","5075.347"
"Kyrgyzstan","2005","Constant fertility","5075.347"
"Kyrgyzstan","2005","Instant replacement","5075.347"
"Kyrgyzstan","2005","Zero migration","5075.347"
"Kyrgyzstan","2005","Constant mortality","5075.347"
"Kyrgyzstan","2005","No change","5075.347"
"Kyrgyzstan","2005","Momentum","5075.347"
"Kyrgyzstan","2004","Medium","5039.005"
"Kyrgyzstan","2004","High","5039.005"
"Kyrgyzstan","2004","Low","5039.005"
"Kyrgyzstan","2004","Constant fertility","5039.005"
"Kyrgyzstan","2004","Instant replacement","5039.005"
"Kyrgyzstan","2004","Zero migration","5039.005"
"Kyrgyzstan","2004","Constant mortality","5039.005"
"Kyrgyzstan","2004","No change","5039.005"
"Kyrgyzstan","2004","Momentum","5039.005"
"Kyrgyzstan","2003","Medium","5013.53"
"Kyrgyzstan","2003","High","5013.53"
"Kyrgyzstan","2003","Low","5013.53"
"Kyrgyzstan","2003","Constant fertility","5013.53"
"Kyrgyzstan","2003","Instant replacement","5013.53"
"Kyrgyzstan","2003","Zero migration","5013.53"
"Kyrgyzstan","2003","Constant mortality","5013.53"
"Kyrgyzstan","2003","No change","5013.53"
"Kyrgyzstan","2003","Momentum","5013.53"
"Kyrgyzstan","2002","Medium","4991.483"
"Kyrgyzstan","2002","High","4991.483"
"Kyrgyzstan","2002","Low","4991.483"
"Kyrgyzstan","2002","Constant fertility","4991.483"
"Kyrgyzstan","2002","Instant replacement","4991.483"
"Kyrgyzstan","2002","Zero migration","4991.483"
"Kyrgyzstan","2002","Constant mortality","4991.483"
"Kyrgyzstan","2002","No change","4991.483"
"Kyrgyzstan","2002","Momentum","4991.483"
"Kyrgyzstan","2001","Medium","4962.836"
"Kyrgyzstan","2001","High","4962.836"
"Kyrgyzstan","2001","Low","4962.836"
"Kyrgyzstan","2001","Constant fertility","4962.836"
"Kyrgyzstan","2001","Instant replacement","4962.836"
"Kyrgyzstan","2001","Zero migration","4962.836"
"Kyrgyzstan","2001","Constant mortality","4962.836"
"Kyrgyzstan","2001","No change","4962.836"
"Kyrgyzstan","2001","Momentum","4962.836"
"Kyrgyzstan","2000","Medium","4920.712"
"Kyrgyzstan","2000","High","4920.712"
"Kyrgyzstan","2000","Low","4920.712"
"Kyrgyzstan","2000","Constant fertility","4920.712"
