"Country or Area","Year(s)","Variant","Value"
"Niue","2015","Medium","1.619"
"Niue","2015","High","1.619"
"Niue","2015","Low","1.619"
"Niue","2015","Constant fertility","1.619"
"Niue","2015","Instant replacement","1.619"
"Niue","2015","Zero migration","1.619"
"Niue","2015","Constant mortality","1.619"
"Niue","2015","No change","1.619"
"Niue","2015","Momentum","1.619"
"Niue","2014","Medium","1.609"
"Niue","2014","High","1.609"
"Niue","2014","Low","1.609"
"Niue","2014","Constant fertility","1.609"
"Niue","2014","Instant replacement","1.609"
"Niue","2014","Zero migration","1.609"
"Niue","2014","Constant mortality","1.609"
"Niue","2014","No change","1.609"
"Niue","2014","Momentum","1.609"
"Niue","2013","Medium","1.612"
"Niue","2013","High","1.612"
"Niue","2013","Low","1.612"
"Niue","2013","Constant fertility","1.612"
"Niue","2013","Instant replacement","1.612"
"Niue","2013","Zero migration","1.612"
"Niue","2013","Constant mortality","1.612"
"Niue","2013","No change","1.612"
"Niue","2013","Momentum","1.612"
"Niue","2012","Medium","1.61"
"Niue","2012","High","1.61"
"Niue","2012","Low","1.61"
"Niue","2012","Constant fertility","1.61"
"Niue","2012","Instant replacement","1.61"
"Niue","2012","Zero migration","1.61"
"Niue","2012","Constant mortality","1.61"
"Niue","2012","No change","1.61"
"Niue","2012","Momentum","1.61"
"Niue","2011","Medium","1.62"
"Niue","2011","High","1.62"
"Niue","2011","Low","1.62"
"Niue","2011","Constant fertility","1.62"
"Niue","2011","Instant replacement","1.62"
"Niue","2011","Zero migration","1.62"
"Niue","2011","Constant mortality","1.62"
"Niue","2011","No change","1.62"
"Niue","2011","Momentum","1.62"
"Niue","2010","Medium","1.618"
"Niue","2010","High","1.618"
"Niue","2010","Low","1.618"
"Niue","2010","Constant fertility","1.618"
"Niue","2010","Instant replacement","1.618"
"Niue","2010","Zero migration","1.618"
"Niue","2010","Constant mortality","1.618"
"Niue","2010","No change","1.618"
"Niue","2010","Momentum","1.618"
"Niue","2009","Medium","1.628"
"Niue","2009","High","1.628"
"Niue","2009","Low","1.628"
"Niue","2009","Constant fertility","1.628"
"Niue","2009","Instant replacement","1.628"
"Niue","2009","Zero migration","1.628"
"Niue","2009","Constant mortality","1.628"
"Niue","2009","No change","1.628"
"Niue","2009","Momentum","1.628"
"Niue","2008","Medium","1.635"
"Niue","2008","High","1.635"
"Niue","2008","Low","1.635"
"Niue","2008","Constant fertility","1.635"
"Niue","2008","Instant replacement","1.635"
"Niue","2008","Zero migration","1.635"
"Niue","2008","Constant mortality","1.635"
"Niue","2008","No change","1.635"
"Niue","2008","Momentum","1.635"
"Niue","2007","Medium","1.643"
"Niue","2007","High","1.643"
"Niue","2007","Low","1.643"
"Niue","2007","Constant fertility","1.643"
"Niue","2007","Instant replacement","1.643"
"Niue","2007","Zero migration","1.643"
"Niue","2007","Constant mortality","1.643"
"Niue","2007","No change","1.643"
"Niue","2007","Momentum","1.643"
"Niue","2006","Medium","1.661"
"Niue","2006","High","1.661"
"Niue","2006","Low","1.661"
"Niue","2006","Constant fertility","1.661"
"Niue","2006","Instant replacement","1.661"
"Niue","2006","Zero migration","1.661"
"Niue","2006","Constant mortality","1.661"
"Niue","2006","No change","1.661"
"Niue","2006","Momentum","1.661"
"Niue","2005","Medium","1.683"
"Niue","2005","High","1.683"
"Niue","2005","Low","1.683"
"Niue","2005","Constant fertility","1.683"
"Niue","2005","Instant replacement","1.683"
"Niue","2005","Zero migration","1.683"
"Niue","2005","Constant mortality","1.683"
"Niue","2005","No change","1.683"
"Niue","2005","Momentum","1.683"
"Niue","2004","Medium","1.715"
"Niue","2004","High","1.715"
"Niue","2004","Low","1.715"
"Niue","2004","Constant fertility","1.715"
"Niue","2004","Instant replacement","1.715"
"Niue","2004","Zero migration","1.715"
"Niue","2004","Constant mortality","1.715"
"Niue","2004","No change","1.715"
"Niue","2004","Momentum","1.715"
"Niue","2003","Medium","1.755"
"Niue","2003","High","1.755"
"Niue","2003","Low","1.755"
"Niue","2003","Constant fertility","1.755"
"Niue","2003","Instant replacement","1.755"
"Niue","2003","Zero migration","1.755"
"Niue","2003","Constant mortality","1.755"
"Niue","2003","No change","1.755"
"Niue","2003","Momentum","1.755"
"Niue","2002","Medium","1.791"
"Niue","2002","High","1.791"
"Niue","2002","Low","1.791"
"Niue","2002","Constant fertility","1.791"
"Niue","2002","Instant replacement","1.791"
"Niue","2002","Zero migration","1.791"
"Niue","2002","Constant mortality","1.791"
"Niue","2002","No change","1.791"
"Niue","2002","Momentum","1.791"
"Niue","2001","Medium","1.854"
"Niue","2001","High","1.854"
"Niue","2001","Low","1.854"
"Niue","2001","Constant fertility","1.854"
"Niue","2001","Instant replacement","1.854"
"Niue","2001","Zero migration","1.854"
"Niue","2001","Constant mortality","1.854"
"Niue","2001","No change","1.854"
"Niue","2001","Momentum","1.854"
"Niue","2000","Medium","1.899"
"Niue","2000","High","1.899"
"Niue","2000","Low","1.899"
"Niue","2000","Constant fertility","1.899"
"Niue","2000","Instant replacement","1.899"
"Niue","2000","Zero migration","1.899"
"Niue","2000","Constant mortality","1.899"
"Niue","2000","No change","1.899"
"Niue","2000","Momentum","1.899"

