"Country or Area","Year(s)","Variant","Value"
"Slovakia","2015","Medium","5435.611"
"Slovakia","2015","High","5435.611"
"Slovakia","2015","Low","5435.611"
"Slovakia","2015","Constant fertility","5435.611"
"Slovakia","2015","Instant replacement","5435.611"
"Slovakia","2015","Zero migration","5435.611"
"Slovakia","2015","Constant mortality","5435.611"
"Slovakia","2015","No change","5435.611"
"Slovakia","2015","Momentum","5435.611"
"Slovakia","2014","Medium","5428.803"
"Slovakia","2014","High","5428.803"
"Slovakia","2014","Low","5428.803"
"Slovakia","2014","Constant fertility","5428.803"
"Slovakia","2014","Instant replacement","5428.803"
"Slovakia","2014","Zero migration","5428.803"
"Slovakia","2014","Constant mortality","5428.803"
"Slovakia","2014","No change","5428.803"
"Slovakia","2014","Momentum","5428.803"
"Slovakia","2013","Medium","5421.725"
"Slovakia","2013","High","5421.725"
"Slovakia","2013","Low","5421.725"
"Slovakia","2013","Constant fertility","5421.725"
"Slovakia","2013","Instant replacement","5421.725"
"Slovakia","2013","Zero migration","5421.725"
"Slovakia","2013","Constant mortality","5421.725"
"Slovakia","2013","No change","5421.725"
"Slovakia","2013","Momentum","5421.725"
"Slovakia","2012","Medium","5414.889"
"Slovakia","2012","High","5414.889"
"Slovakia","2012","Low","5414.889"
"Slovakia","2012","Constant fertility","5414.889"
"Slovakia","2012","Instant replacement","5414.889"
"Slovakia","2012","Zero migration","5414.889"
"Slovakia","2012","Constant mortality","5414.889"
"Slovakia","2012","No change","5414.889"
"Slovakia","2012","Momentum","5414.889"
"Slovakia","2011","Medium","5408.937"
"Slovakia","2011","High","5408.937"
"Slovakia","2011","Low","5408.937"
"Slovakia","2011","Constant fertility","5408.937"
"Slovakia","2011","Instant replacement","5408.937"
"Slovakia","2011","Zero migration","5408.937"
"Slovakia","2011","Constant mortality","5408.937"
"Slovakia","2011","No change","5408.937"
"Slovakia","2011","Momentum","5408.937"
"Slovakia","2010","Medium","5404.294"
"Slovakia","2010","High","5404.294"
"Slovakia","2010","Low","5404.294"
"Slovakia","2010","Constant fertility","5404.294"
"Slovakia","2010","Instant replacement","5404.294"
"Slovakia","2010","Zero migration","5404.294"
"Slovakia","2010","Constant mortality","5404.294"
"Slovakia","2010","No change","5404.294"
"Slovakia","2010","Momentum","5404.294"
"Slovakia","2009","Medium","5401.153"
"Slovakia","2009","High","5401.153"
"Slovakia","2009","Low","5401.153"
"Slovakia","2009","Constant fertility","5401.153"
"Slovakia","2009","Instant replacement","5401.153"
"Slovakia","2009","Zero migration","5401.153"
"Slovakia","2009","Constant mortality","5401.153"
"Slovakia","2009","No change","5401.153"
"Slovakia","2009","Momentum","5401.153"
"Slovakia","2008","Medium","5399.371"
"Slovakia","2008","High","5399.371"
"Slovakia","2008","Low","5399.371"
"Slovakia","2008","Constant fertility","5399.371"
"Slovakia","2008","Instant replacement","5399.371"
"Slovakia","2008","Zero migration","5399.371"
"Slovakia","2008","Constant mortality","5399.371"
"Slovakia","2008","No change","5399.371"
"Slovakia","2008","Momentum","5399.371"
"Slovakia","2007","Medium","5398.692"
"Slovakia","2007","High","5398.692"
"Slovakia","2007","Low","5398.692"
"Slovakia","2007","Constant fertility","5398.692"
"Slovakia","2007","Instant replacement","5398.692"
"Slovakia","2007","Zero migration","5398.692"
"Slovakia","2007","Constant mortality","5398.692"
"Slovakia","2007","No change","5398.692"
"Slovakia","2007","Momentum","5398.692"
"Slovakia","2006","Medium","5398.673"
"Slovakia","2006","High","5398.673"
"Slovakia","2006","Low","5398.673"
"Slovakia","2006","Constant fertility","5398.673"
"Slovakia","2006","Instant replacement","5398.673"
"Slovakia","2006","Zero migration","5398.673"
