"Country or Area","Year(s)","Variant","Value"
"Saint Helena","2015","Medium","5.865"
"Saint Helena","2015","High","5.865"
"Saint Helena","2015","Low","5.865"
"Saint Helena","2015","Constant fertility","5.865"
"Saint Helena","2015","Instant replacement","5.865"
"Saint Helena","2015","Zero migration","5.865"
"Saint Helena","2015","Constant mortality","5.865"
"Saint Helena","2015","No change","5.865"
"Saint Helena","2015","Momentum","5.865"
"Saint Helena","2014","Medium","5.739"
"Saint Helena","2014","High","5.739"
"Saint Helena","2014","Low","5.739"
"Saint Helena","2014","Constant fertility","5.739"
"Saint Helena","2014","Instant replacement","5.739"
"Saint Helena","2014","Zero migration","5.739"
"Saint Helena","2014","Constant mortality","5.739"
"Saint Helena","2014","No change","5.739"
"Saint Helena","2014","Momentum","5.739"
"Saint Helena","2013","Medium","5.584"
"Saint Helena","2013","High","5.584"
"Saint Helena","2013","Low","5.584"
"Saint Helena","2013","Constant fertility","5.584"
"Saint Helena","2013","Instant replacement","5.584"
"Saint Helena","2013","Zero migration","5.584"
"Saint Helena","2013","Constant mortality","5.584"
"Saint Helena","2013","No change","5.584"
"Saint Helena","2013","Momentum","5.584"
"Saint Helena","2012","Medium","5.414"
"Saint Helena","2012","High","5.414"
"Saint Helena","2012","Low","5.414"
"Saint Helena","2012","Constant fertility","5.414"
"Saint Helena","2012","Instant replacement","5.414"
"Saint Helena","2012","Zero migration","5.414"
"Saint Helena","2012","Constant mortality","5.414"
"Saint Helena","2012","No change","5.414"
"Saint Helena","2012","Momentum","5.414"
"Saint Helena","2011","Medium","5.28"
"Saint Helena","2011","High","5.28"
"Saint Helena","2011","Low","5.28"
"Saint Helena","2011","Constant fertility","5.28"
"Saint Helena","2011","Instant replacement","5.28"
"Saint Helena","2011","Zero migration","5.28"
"Saint Helena","2011","Constant mortality","5.28"
"Saint Helena","2011","No change","5.28"
"Saint Helena","2011","Momentum","5.28"
"Saint Helena","2010","Medium","5.183"
"Saint Helena","2010","High","5.183"
"Saint Helena","2010","Low","5.183"
"Saint Helena","2010","Constant fertility","5.183"
"Saint Helena","2010","Instant replacement","5.183"
"Saint Helena","2010","Zero migration","5.183"
"Saint Helena","2010","Constant mortality","5.183"
"Saint Helena","2010","No change","5.183"
"Saint Helena","2010","Momentum","5.183"
"Saint Helena","2009","Medium","5.142"
"Saint Helena","2009","High","5.142"
"Saint Helena","2009","Low","5.142"
"Saint Helena","2009","Constant fertility","5.142"
"Saint Helena","2009","Instant replacement","5.142"
"Saint Helena","2009","Zero migration","5.142"
"Saint Helena","2009","Constant mortality","5.142"
"Saint Helena","2009","No change","5.142"
"Saint Helena","2009","Momentum","5.142"
"Saint Helena","2008","Medium","5.143"
"Saint Helena","2008","High","5.143"
"Saint Helena","2008","Low","5.143"
"Saint Helena","2008","Constant fertility","5.143"
"Saint Helena","2008","Instant replacement","5.143"
"Saint Helena","2008","Zero migration","5.143"
"Saint Helena","2008","Constant mortality","5.143"
"Saint Helena","2008","No change","5.143"
"Saint Helena","2008","Momentum","5.143"
"Saint Helena","2007","Medium","5.186"
"Saint Helena","2007","High","5.186"
"Saint Helena","2007","Low","5.186"
"Saint Helena","2007","Constant fertility","5.186"
"Saint Helena","2007","Instant replacement","5.186"
"Saint Helena","2007","Zero migration","5.186"
"Saint Helena","2007","Constant mortality","5.186"
"Saint Helena","2007","No change","5.186"
"Saint Helena","2007","Momentum","5.186"
"Saint Helena","2006","Medium","5.263"
"Saint Helena","2006","High","5.263"
"Saint Helena","2006","Low","5.263"
"Saint Helena","2006","Constant fertility","5.263"
"Saint Helena","2006","Instant replacement","5.263"
"Saint Helena","2006","Zero migration","5.263"
"Saint Helena","2006","Constant mortality","5.263"
"Saint Helena","2006","No change","5.263"
"Saint Helena","2006","Momentum","5.263"
"Saint Helena","2005","Medium","5.364"
"Saint Helena","2005","High","5.364"
"Saint Helena","2005","Low","5.364"
"Saint Helena","2005","Constant fertility","5.364"
"Saint Helena","2005","Instant replacement","5.364"
"Saint Helena","2005","Zero migration","5.364"
"Saint Helena","2005","Constant mortality","5.364"
"Saint Helena","2005","No change","5.364"
"Saint Helena","2005","Momentum","5.364"
"Saint Helena","2004","Medium","5.49"
"Saint Helena","2004","High","5.49"
"Saint Helena","2004","Low","5.49"
"Saint Helena","2004","Constant fertility","5.49"
"Saint Helena","2004","Instant replacement","5.49"
"Saint Helena","2004","Zero migration","5.49"
"Saint Helena","2004","Constant mortality","5.49"
"Saint Helena","2004","No change","5.49"
"Saint Helena","2004","Momentum","5.49"
"Saint Helena","2003","Medium","5.644"
"Saint Helena","2003","High","5.644"
"Saint Helena","2003","Low","5.644"
"Saint Helena","2003","Constant fertility","5.644"
"Saint Helena","2003","Instant replacement","5.644"
"Saint Helena","2003","Zero migration","5.644"
"Saint Helena","2003","Constant mortality","5.644"
"Saint Helena","2003","No change","5.644"
"Saint Helena","2003","Momentum","5.644"
"Saint Helena","2002","Medium","5.801"
"Saint Helena","2002","High","5.801"
"Saint Helena","2002","Low","5.801"
"Saint Helena","2002","Constant fertility","5.801"
"Saint Helena","2002","Instant replacement","5.801"
"Saint Helena","2002","Zero migration","5.801"
"Saint Helena","2002","Constant mortality","5.801"
"Saint Helena","2002","No change","5.801"
"Saint Helena","2002","Momentum","5.801"
"Saint Helena","2001","Medium","5.939"
"Saint Helena","2001","High","5.939"
"Saint Helena","2001","Low","5.939"
"Saint Helena","2001","Constant fertility","5.939"
"Saint Helena","2001","Instant replacement","5.939"
"Saint Helena","2001","Zero migration","5.939"
"Saint Helena","2001","Constant mortality","5.939"
"Saint Helena","2001","No change","5.939"
"Saint Helena","2001","Momentum","5.939"
"Saint Helena","2000","Medium","6.049"
"Saint Helena","2000","High","6.049"
"Saint Helena","2000","Low","6.049"
"Saint Helena","2000","Constant fertility","6.049"
"Saint Helena","2000","Instant replacement","6.049"
"Saint Helena","2000","Zero migration","6.049"
"Saint Helena","2000","Constant mortality","6.049"
"Saint Helena","2000","No change","6.049"
"Saint Helena","2000","Momentum","6.049"
"Saint Kitts and Nevis","2015","Medium","51.203"
"Saint Kitts and Nevis","2015","High","51.203"
"Saint Kitts and Nevis","2015","Low","51.203"
"Saint Kitts and Nevis","2015","Constant fertility","51.203"
"Saint Kitts and Nevis","2015","Instant replacement","51.203"
"Saint Kitts and Nevis","2015","Zero migration","51.203"
"Saint Kitts and Nevis","2015","Constant mortality","51.203"
"Saint Kitts and Nevis","2015","No change","51.203"
"Saint Kitts and Nevis","2015","Momentum","51.203"
"Saint Kitts and Nevis","2014","Medium","50.774"
"Saint Kitts and Nevis","2014","High","50.774"
"Saint Kitts and Nevis","2014","Low","50.774"
"Saint Kitts and Nevis","2014","Constant fertility","50.774"
"Saint Kitts and Nevis","2014","Instant replacement","50.774"
"Saint Kitts and Nevis","2014","Zero migration","50.774"
"Saint Kitts and Nevis","2014","Constant mortality","50.774"
"Saint Kitts and Nevis","2014","No change","50.774"
"Saint Kitts and Nevis","2014","Momentum","50.774"
"Saint Kitts and Nevis","2013","Medium","50.331"
"Saint Kitts and Nevis","2013","High","50.331"
"Saint Kitts and Nevis","2013","Low","50.331"
"Saint Kitts and Nevis","2013","Constant fertility","50.331"
"Saint Kitts and Nevis","2013","Instant replacement","50.331"
"Saint Kitts and Nevis","2013","Zero migration","50.331"
"Saint Kitts and Nevis","2013","Constant mortality","50.331"
"Saint Kitts and Nevis","2013","No change","50.331"
"Saint Kitts and Nevis","2013","Momentum","50.331"
"Saint Kitts and Nevis","2012","Medium","49.887"
"Saint Kitts and Nevis","2012","High","49.887"
"Saint Kitts and Nevis","2012","Low","49.887"
"Saint Kitts and Nevis","2012","Constant fertility","49.887"
"Saint Kitts and Nevis","2012","Instant replacement","49.887"
"Saint Kitts and Nevis","2012","Zero migration","49.887"
"Saint Kitts and Nevis","2012","Constant mortality","49.887"
"Saint Kitts and Nevis","2012","No change","49.887"
"Saint Kitts and Nevis","2012","Momentum","49.887"
"Saint Kitts and Nevis","2011","Medium","49.447"
"Saint Kitts and Nevis","2011","High","49.447"
"Saint Kitts and Nevis","2011","Low","49.447"
"Saint Kitts and Nevis","2011","Constant fertility","49.447"
"Saint Kitts and Nevis","2011","Instant replacement","49.447"
"Saint Kitts and Nevis","2011","Zero migration","49.447"
"Saint Kitts and Nevis","2011","Constant mortality","49.447"
"Saint Kitts and Nevis","2011","No change","49.447"
"Saint Kitts and Nevis","2011","Momentum","49.447"
"Saint Kitts and Nevis","2010","Medium","49.016"
"Saint Kitts and Nevis","2010","High","49.016"
"Saint Kitts and Nevis","2010","Low","49.016"
"Saint Kitts and Nevis","2010","Constant fertility","49.016"
"Saint Kitts and Nevis","2010","Instant replacement","49.016"
"Saint Kitts and Nevis","2010","Zero migration","49.016"
"Saint Kitts and Nevis","2010","Constant mortality","49.016"
"Saint Kitts and Nevis","2010","No change","49.016"
"Saint Kitts and Nevis","2010","Momentum","49.016"
"Saint Kitts and Nevis","2009","Medium","48.599"
"Saint Kitts and Nevis","2009","High","48.599"
"Saint Kitts and Nevis","2009","Low","48.599"
"Saint Kitts and Nevis","2009","Constant fertility","48.599"
"Saint Kitts and Nevis","2009","Instant replacement","48.599"
"Saint Kitts and Nevis","2009","Zero migration","48.599"
"Saint Kitts and Nevis","2009","Constant mortality","48.599"
"Saint Kitts and Nevis","2009","No change","48.599"
"Saint Kitts and Nevis","2009","Momentum","48.599"
"Saint Kitts and Nevis","2008","Medium","48.185"
"Saint Kitts and Nevis","2008","High","48.185"
"Saint Kitts and Nevis","2008","Low","48.185"
"Saint Kitts and Nevis","2008","Constant fertility","48.185"
"Saint Kitts and Nevis","2008","Instant replacement","48.185"
"Saint Kitts and Nevis","2008","Zero migration","48.185"
"Saint Kitts and Nevis","2008","Constant mortality","48.185"
"Saint Kitts and Nevis","2008","No change","48.185"
"Saint Kitts and Nevis","2008","Momentum","48.185"
"Saint Kitts and Nevis","2007","Medium","47.778"
"Saint Kitts and Nevis","2007","High","47.778"
"Saint Kitts and Nevis","2007","Low","47.778"
"Saint Kitts and Nevis","2007","Constant fertility","47.778"
"Saint Kitts and Nevis","2007","Instant replacement","47.778"
"Saint Kitts and Nevis","2007","Zero migration","47.778"
"Saint Kitts and Nevis","2007","Constant mortality","47.778"
"Saint Kitts and Nevis","2007","No change","47.778"
"Saint Kitts and Nevis","2007","Momentum","47.778"
"Saint Kitts and Nevis","2006","Medium","47.339"
"Saint Kitts and Nevis","2006","High","47.339"
"Saint Kitts and Nevis","2006","Low","47.339"
"Saint Kitts and Nevis","2006","Constant fertility","47.339"
"Saint Kitts and Nevis","2006","Instant replacement","47.339"
"Saint Kitts and Nevis","2006","Zero migration","47.339"
"Saint Kitts and Nevis","2006","Constant mortality","47.339"
"Saint Kitts and Nevis","2006","No change","47.339"
"Saint Kitts and Nevis","2006","Momentum","47.339"
"Saint Kitts and Nevis","2005","Medium","46.857"
"Saint Kitts and Nevis","2005","High","46.857"
"Saint Kitts and Nevis","2005","Low","46.857"
"Saint Kitts and Nevis","2005","Constant fertility","46.857"
"Saint Kitts and Nevis","2005","Instant replacement","46.857"
"Saint Kitts and Nevis","2005","Zero migration","46.857"
"Saint Kitts and Nevis","2005","Constant mortality","46.857"
"Saint Kitts and Nevis","2005","No change","46.857"
"Saint Kitts and Nevis","2005","Momentum","46.857"
"Saint Kitts and Nevis","2004","Medium","46.324"
"Saint Kitts and Nevis","2004","High","46.324"
"Saint Kitts and Nevis","2004","Low","46.324"
"Saint Kitts and Nevis","2004","Constant fertility","46.324"
"Saint Kitts and Nevis","2004","Instant replacement","46.324"
"Saint Kitts and Nevis","2004","Zero migration","46.324"
"Saint Kitts and Nevis","2004","Constant mortality","46.324"
"Saint Kitts and Nevis","2004","No change","46.324"
"Saint Kitts and Nevis","2004","Momentum","46.324"
"Saint Kitts and Nevis","2003","Medium","45.746"
"Saint Kitts and Nevis","2003","High","45.746"
"Saint Kitts and Nevis","2003","Low","45.746"
"Saint Kitts and Nevis","2003","Constant fertility","45.746"
"Saint Kitts and Nevis","2003","Instant replacement","45.746"
"Saint Kitts and Nevis","2003","Zero migration","45.746"
"Saint Kitts and Nevis","2003","Constant mortality","45.746"
"Saint Kitts and Nevis","2003","No change","45.746"
"Saint Kitts and Nevis","2003","Momentum","45.746"
"Saint Kitts and Nevis","2002","Medium","45.165"
"Saint Kitts and Nevis","2002","High","45.165"
"Saint Kitts and Nevis","2002","Low","45.165"
"Saint Kitts and Nevis","2002","Constant fertility","45.165"
"Saint Kitts and Nevis","2002","Instant replacement","45.165"
"Saint Kitts and Nevis","2002","Zero migration","45.165"
"Saint Kitts and Nevis","2002","Constant mortality","45.165"
"Saint Kitts and Nevis","2002","No change","45.165"
"Saint Kitts and Nevis","2002","Momentum","45.165"
"Saint Kitts and Nevis","2001","Medium","44.599"
"Saint Kitts and Nevis","2001","High","44.599"
"Saint Kitts and Nevis","2001","Low","44.599"
"Saint Kitts and Nevis","2001","Constant fertility","44.599"
"Saint Kitts and Nevis","2001","Instant replacement","44.599"
"Saint Kitts and Nevis","2001","Zero migration","44.599"
"Saint Kitts and Nevis","2001","Constant mortality","44.599"
"Saint Kitts and Nevis","2001","No change","44.599"
"Saint Kitts and Nevis","2001","Momentum","44.599"
"Saint Kitts and Nevis","2000","Medium","44.074"
"Saint Kitts and Nevis","2000","High","44.074"
"Saint Kitts and Nevis","2000","Low","44.074"
"Saint Kitts and Nevis","2000","Constant fertility","44.074"
"Saint Kitts and Nevis","2000","Instant replacement","44.074"
"Saint Kitts and Nevis","2000","Zero migration","44.074"
"Saint Kitts and Nevis","2000","Constant mortality","44.074"
"Saint Kitts and Nevis","2000","No change","44.074"
"Saint Kitts and Nevis","2000","Momentum","44.074"
"Saint Lucia","2015","Medium","179.126"
"Saint Lucia","2015","High","179.126"
"Saint Lucia","2015","Low","179.126"
"Saint Lucia","2015","Constant fertility","179.126"
"Saint Lucia","2015","Instant replacement","179.126"
"Saint Lucia","2015","Zero migration","179.126"
"Saint Lucia","2015","Constant mortality","179.126"
"Saint Lucia","2015","No change","179.126"
"Saint Lucia","2015","Momentum","179.126"
